Job Id,Activity Name,Date Due,Date Completed,Property,Paddock,Job Status,Activity Author
517924,In Furrow Chisel,,2018-08-03,Las Animas,L-01,Complete,Emery Silberman
518010,check something,,2018-08-03,Delta Ranch,D-08N,Complete,Emery Silberman
518128,Cotton discing,,2018-08-03,Delta Ranch,D-06,Complete,Emery Silberman
518242,Discing,2018-08-04,2018-08-09,Las Animas,L-04,Complete,Emery Silberman
518242,Discing,2018-08-04,2018-08-09,Las Animas,L-05,Complete,Emery Silberman
518242,Discing,2018-08-04,2018-08-09,Las Animas,L-09,Complete,Emery Silberman
518242,Discing,2018-08-04,2018-08-09,Pick Anderson,P-26,Complete,Emery Silberman
518242,Discing,,2018-08-09,Las Animas,L-04,Complete,Emery Silberman
518242,Discing,,2018-08-09,Las Animas,L-05,Complete,Emery Silberman
518242,Discing,,2018-08-09,Las Animas,L-09,Complete,Emery Silberman
518242,Discing,,2018-08-09,Pick Anderson,P-26,Complete,Emery Silberman
519325,Lilliston- 12 Row,,2018-08-09,Deep Well,W-01,Complete,Emery Silberman
519327,Lister-12 Row,2018-11-01,2018-08-07,Deep Well,W-01,In Progress,Danny Royer
519328,Finish Disc,2018-10-31,2018-08-07,Deep Well,W-01,In Progress,Danny Royer
519329,Spreading- Chicken Manure,2018-10-30,2018-08-07,Deep Well,W-01,Complete,Danny Royer
519338,Planting- JD 12 Row Seeder,2019-04-20,2018-08-07,Deep Well,W-02,In Progress,Danny Royer
519339,Lilliston- 12 Row,2019-04-19,2018-08-07,Deep Well,W-02,In Progress,Danny Royer
519340,Lister-12 Row,2018-11-01,2018-08-07,Deep Well,W-02,In Progress,Danny Royer
519341,Finish Disc,2018-10-31,2018-08-07,Deep Well,W-02,In Progress,Danny Royer
519342,Spreading- Chicken Manure,,2018-08-07,Deep Well,W-02,In Progress,Danny Royer
538548,,,2018-09-17,Las Animas,L-37,Complete,Emery Silberman
539123,Veris EC & PH,,2018-09-19,Demo Farm,Demo 2,Complete,Fernando Banda
539123,Veris EC & PH,,2018-09-19,Demo Farm,Demo 24,Complete,Fernando Banda
539123,Veris EC & PH,,2018-09-19,Demo Farm,Demo 27,Complete,Fernando Banda
539123,Veris EC & PH,,2018-09-19,Demo Farm,Demo 3,Complete,Fernando Banda
540764,Test 1,2018-09-21,2018-09-20,Demo Farm,Demo 13,In Progress,Fernando Banda
540764,Test 1,2018-09-21,2018-09-20,Demo Farm,Demo 15,In Progress,Fernando Banda
540764,Test 1,2018-09-21,2018-09-21,Demo Farm,Demo 11,In Progress,Fernando Banda
540764,Test 1,2018-09-21,2018-09-22,Demo Farm,Demo 11,In Progress,Fernando Banda
540764,Test 1,2018-09-21,,Demo Farm,Demo 1,To Do,Fernando Banda
540764,Test 1,2018-09-21,,Demo Farm,Demo 11,To Do,Fernando Banda
540764,Test 1,2018-09-21,,Demo Farm,Demo 13,To Do,Fernando Banda
540764,Test 1,2018-09-21,,Demo Farm,Demo 15,To Do,Fernando Banda
541203,Planting,,2019-03-18,Lone Tree,T-05,Complete,Alvaro Rualacava
541999,Drip Irrigation,2019-05-15,2019-05-17,Lone Tree,T-05,Complete,Danny Royer
541999,Drip Irrigation,,2019-05-17,Lone Tree,T-05,Complete,Alvaro Rualacava
542039,Oregano Transplanting,,2018-10-26,Pick Anderson,P-17,Complete,Ben Garcia
542040,sprinkler irr.,,2019-01-30,Pick Anderson,P-17,Complete,John Palazzo
543303,Insecticide App,2018-10-03,,Delta Ranch,D-02,Discarded,Daniel Boyd
543600,Fungicide Spray,2018-12-26,,Elbon,E-08,To Do,Daniel Boyd
543677,Insecticide app,2018-09-30,,Elbon,E-03,Discarded,Daniel Boyd
543677,Insecticide app,2018-09-30,,Elbon,E-04,Discarded,Daniel Boyd
543677,Insecticide app,2018-09-30,,Elbon,E-06,Discarded,Daniel Boyd
543677,Insecticide app,2018-09-30,,Elbon,E-07,Discarded,Daniel Boyd
