Field Name,Task Status,# Tasks With Status,Percentage
Deep Well W-01,Complete,13,86.66
Deep Well W-01,In Progress,2,13.33
Deep Well W-02,Complete,11,64.70
Deep Well W-02,In Progress,6,35.29
Delta Ranch D-01,Complete,20,76.92
Delta Ranch D-01,In Progress,1,3.846
Delta Ranch D-01,To Do,5,19.23
Delta Ranch D-02,Complete,49,83.05
Delta Ranch D-02,Discarded,3,5.084
Delta Ranch D-02,In Progress,2,3.389
Delta Ranch D-02,Partially Complete,2,3.389
Delta Ranch D-02,To Do,3,5.084
Delta Ranch D-03,Complete,17,70.83
Delta Ranch D-03,Discarded,1,4.166
Delta Ranch D-03,In Progress,1,4.166
Delta Ranch D-03,To Do,5,20.83
Delta Ranch D-05N,Complete,12,75.0
Delta Ranch D-05N,Discarded,3,18.75
Delta Ranch D-05N,To Do,1,6.25
Delta Ranch D-05S,Complete,39,86.66
Delta Ranch D-05S,Discarded,3,6.666
Delta Ranch D-05S,Partially Complete,2,4.444
Delta Ranch D-05S,To Do,1,2.222
Delta Ranch D-05,Complete,1,50.0
Delta Ranch D-05,To Do,1,50.0
Delta Ranch D-06,Complete,26,92.85
Delta Ranch D-06,To Do,2,7.142
Delta Ranch D-07,Complete,12,85.71
Delta Ranch D-07,Discarded,1,7.142
Delta Ranch D-07,To Do,1,7.142
Delta Ranch D-08N,Complete,2,100.0
Delta Ranch D-09E Block #1,Complete,13,92.85
Delta Ranch D-09E Block #1,Discarded,1,7.142
Delta Ranch D-09E Block #2,Complete,13,92.85
Delta Ranch D-09E Block #2,Discarded,1,7.142
Delta Ranch D-09W,Complete,15,93.75
Delta Ranch D-09W,Discarded,1,6.25
Delta Ranch D-10,Complete,17,89.47
Delta Ranch D-10,To Do,2,10.52
Delta Ranch D-11,Complete,44,86.27
Delta Ranch D-11,Discarded,2,3.921
Delta Ranch D-11,Partially Complete,1,1.960
Delta Ranch D-11,To Do,4,7.843
Delta Ranch D-12,Complete,46,92.0
Delta Ranch D-12,To Do,4,8.0
Delta Ranch D-13,Complete,8,72.72
Delta Ranch D-13,In Progress,1,9.090
Delta Ranch D-13,To Do,2,18.18
Delta Ranch D-14,Complete,45,93.75
Delta Ranch D-14,To Do,3,6.25
Delta Ranch D-15,Complete,21,80.76
Delta Ranch D-15,To Do,5,19.23
Delta Ranch D-17,Complete,15,68.18
Delta Ranch D-17,In Progress,1,4.545
Delta Ranch D-17,To Do,6,27.27
Delta Ranch D-18 Block  #8,Complete,12,54.54
Delta Ranch D-18 Block  #8,In Progress,5,22.72
Delta Ranch D-18 Block  #8,To Do,5,22.72
Delta Ranch D-18 Block #10,Complete,10,55.55
Delta Ranch D-18 Block #10,In Progress,4,22.22
Delta Ranch D-18 Block #10,To Do,4,22.22
Delta Ranch D-18 Block #11,Complete,9,52.94
Delta Ranch D-18 Block #11,In Progress,4,23.52
Delta Ranch D-18 Block #11,To Do,4,23.52
Delta Ranch D-18 Block #12,Complete,5,38.46
Delta Ranch D-18 Block #12,In Progress,4,30.76
Delta Ranch D-18 Block #12,To Do,4,30.76
Delta Ranch D-18 Block #1,Complete,28,66.66
Delta Ranch D-18 Block #1,In Progress,7,16.66
Delta Ranch D-18 Block #1,To Do,7,16.66
Delta Ranch D-18 Block #2,Complete,27,67.5
Delta Ranch D-18 Block #2,In Progress,6,15.0
Delta Ranch D-18 Block #2,To Do,7,17.5
Delta Ranch D-18 Block #3,Complete,27,67.5
Delta Ranch D-18 Block #3,In Progress,6,15.0
Delta Ranch D-18 Block #3,To Do,7,17.5
Delta Ranch D-18 Block #4,Complete,22,70.96
Delta Ranch D-18 Block #4,In Progress,4,12.90
Delta Ranch D-18 Block #4,To Do,5,16.12
Delta Ranch D-18 Block #5,Complete,21,67.74
Delta Ranch D-18 Block #5,In Progress,5,16.12
Delta Ranch D-18 Block #5,To Do,5,16.12
Delta Ranch D-18 Block #6,Complete,16,61.53
Delta Ranch D-18 Block #6,In Progress,5,19.23
Delta Ranch D-18 Block #6,To Do,5,19.23
